start,Bean
-35.3459,149.2063
-35.3783,149.1843
-35.4078,149.1567
-35.4143,149.1470
-35.4236,149.1444
-35.4294,149.1381
-35.4341,149.1407
-35.4334,149.1522
-35.4357,149.1551
-35.4433,149.1528
-35.4461,149.1450
-35.4506,149.1430
-35.4520,149.1371
-35.4544,149.1355
-35.4680,149.1387
-35.4750,149.1442
-35.4922,149.1515
-35.5083,149.1509
-35.5541,149.1313
-35.5925,149.1425
-35.5907,149.1302
-35.5921,149.1299
-35.5916,149.126
-35.5872,149.1255
-35.5858,149.1131
-35.5878,149.1100
-35.5864,149.1080
-35.5839,149.1083
-35.5808,149.0846
-35.5845,149.0829
-35.5864,149.0781
-35.6077,149.0792
-35.6146,149.0845
-35.6216,149.0841
-35.6278,149.0879
-35.6340,149.0885
-35.6358,149.0865
-35.6396,149.0876
-35.6410,149.0890
-35.6396,149.0925
-35.6403,149.0957
-35.6473,149.0974
-35.6530,149.0954
-35.6572,149.0985
-35.6615,149.0959
-35.6735,149.0972
-35.6767,149.0950
-35.6792,149.0953
-35.6838,149.0995
-35.6848,149.1044
-35.6907,149.1037
-35.6911,149.1060
-35.6966,149.1094
-35.7023,149.1075
-35.7074,149.1022
-35.7148,149.0995
-35.7251,149.1041
-35.7293,149.0990
-35.7363,149.1006
-35.7438,149.0961
-35.7460,149.0956
-35.7474,149.0969
-35.7503,149.0950
-35.7527,149.0964
-35.7591,149.0929
-35.7628,149.0932
-35.7656,149.0907
-35.7708,149.0933
-35.7739,149.0916
-35.7774,149.0973
-35.7831,149.0931
-35.7858,149.0930
-35.7872,149.0934
-35.7897,149.1002
-35.7941,149.1002
-35.7982,149.0967
-35.8036,149.1014
-35.8079,149.0982
-35.8100,149.1004
-35.8153,149.1004
-35.8176,149.0959
-35.8242,149.0935
-35.8308,149.0945
-35.8354,149.0919
-35.8382,149.0929
-35.8391,149.0953
-35.8457,149.0956
-35.8502,149.0842
-35.8522,149.0845
-35.8532,149.0821
-35.8590,149.0796
-35.8606,149.0767
-35.8658,149.0742
-35.8749,149.0644
-35.8800,149.0615
-35.8845,149.0623
-35.8882,149.0601
-35.8914,149.0617
-35.8960,149.0589
-35.9022,149.0517
-35.9073,149.0571
-35.9136,149.0550
-35.9204,149.0488
-35.9207,149.0460
-35.9165,149.0437
-35.9140,149.0397
-35.9139,149.0361
-35.9111,149.0337
-35.9128,149.0276
-35.9060,149.0226
-35.8996,149.0121
-35.9026,148.9993
-35.9009,148.9973
-35.8968,148.9979
-35.8962,148.9968
-35.8954,148.9867
-35.8921,148.9756
-35.8939,148.9678
-35.8972,148.9662
-35.8968,148.9616
-35.8954,148.9591
-35.8917,148.9584
-35.8813,148.9445
-35.8758,148.9406
-35.8736,148.9327
-35.8681,148.9303
-35.8607,148.9197
-35.8572,148.9200
-35.8554,148.9126
-35.8530,148.9093
-35.8478,148.9078
-35.8425,148.9039
-35.8396,148.9052
-35.8351,148.9031
-35.8320,148.9065
-35.8295,148.9070
-35.8261,148.9035
-35.8247,148.8975
-35.8179,148.8965
-35.8166,148.8924
-35.8100,148.8866
-35.8015,148.8929
-35.7992,148.8931
-35.7946,148.8977
-35.7846,148.8949
-35.7716,148.8948
-35.7632,148.9023
-35.7577,148.9033
-35.7512,148.8987
-35.7512,148.8940
-35.7404,148.8908
-35.7370,148.8880
-35.7336,148.8883
-35.7304,148.8924
-35.7283,148.8923
-35.7191,148.8866
-35.7149,148.8776
-35.7214,148.8724
-35.7310,148.8685
-35.7316,148.8657
-35.7338,148.8640
-35.7387,148.8674
-35.7423,148.8648
-35.7481,148.8638
-35.7501,148.8614
-35.7528,148.8607
-35.7575,148.8624
-35.7606,148.8596
-35.7608,148.8556
-35.7535,148.8561
-35.7510,148.8540
-35.7504,148.8470
-35.7418,148.8357
-35.7277,148.8290
-35.7242,148.8235
-35.7209,148.8224
-35.7187,148.8187
-35.7197,148.8127
-35.7094,148.7965
-35.7034,148.7911
-35.6977,148.7884
-35.6932,148.7913
-35.6895,148.7914
-35.6803,148.7975
-35.6664,148.7984
-35.6592,148.7905
-35.6604,148.7869
-35.6578,148.7864
-35.6562,148.7833
-35.6554,148.7736
-35.6535,148.7721
-35.6499,148.7727
-35.6496,148.7698
-35.6473,148.7674
-35.6457,148.7713
-35.6399,148.7708
-35.6328,148.7804
-35.6283,148.7834
-35.6237,148.7796
-35.6175,148.7804
-35.6133,148.7781
-35.6091,148.7724
-35.6031,148.7684
-35.6013,148.7721
-35.5978,148.7743
-35.5952,148.7831
-35.5881,148.7887
-35.5823,148.7860
-35.5812,148.7824
-35.5681,148.7730
-35.5636,148.7785
-35.5588,148.7782
-35.5440,148.7692
-35.5293,148.7723
-35.5244,148.7681
-35.5104,148.7663
-35.5079,148.7685
-35.5049,148.7655
-35.4955,148.7626
-35.4908,148.7651
-35.4860,148.7743
-35.4799,148.7708
-35.4755,148.7706
-35.4710,148.7668
-35.4654,148.7670
-35.4623,148.7728
-35.4546,148.7759
-35.4493,148.7730
-35.4417,148.7748
-35.4399,148.7775
-35.4332,148.7809
-35.4321,148.7842
-35.4263,148.7888
-35.4229,148.7875
-35.4154,148.7900
-35.4126,148.7862
-35.4087,148.7857
-35.4065,148.7961
-35.3929,148.7957
-35.3887,148.8036
-35.3850,148.8048
-35.3823,148.8087
-35.3805,148.8086
-35.3788,148.8053
-35.3761,148.8041
-35.3653,148.8055
-35.3628,148.8013
-35.3592,148.7994
-35.3586,148.7963
-35.3545,148.7989
-35.3506,148.7991
-35.3391,148.7932
-35.3292,148.8015
-35.3217,148.8008
-35.3074,148.8100
-35.2184,148.9617
-35.2311,148.9686
-35.2388,148.9762
-35.2407,148.9744
-35.2439,148.9625
-35.2460,148.9616
-35.2496,148.9700
-35.2559,148.9731
-35.2553,148.9772
-35.2587,148.9782
-35.2623,148.9877
-35.2611,148.9904
-35.2625,148.9955
-35.2579,148.9965
-35.2595,149.0005
-35.2686,149.0038
-35.2714,149.0066
-35.2730,149.0184
-35.2782,149.0177
-35.2800,149.0188
-35.2779,149.0241
-35.2659,149.0339
-35.2695,149.0381
-35.2692,149.0509
-35.2755,149.0677
-35.2769,149.0775
-35.2801,149.0861
-35.2847,149.0847
-35.2928,149.0730
-35.3073,149.0620
-35.3230,149.0641
-35.3334,149.0636
-35.3483,149.0695
-35.3476,149.0772
-35.3488,149.0841
-35.3403,149.0823
-35.3366,149.0870
-35.3435,149.0983
-35.3506,149.1004
-35.3453,149.1121
-35.3479,149.1234
-35.3443,149.1334
-35.3456,149.1456
-35.3376,149.1761
-35.3438,149.1903
-35.3437,149.2034
-35.3459,149.2063
end
start,Canberra
-35.3438,149.0986
-35.3366,149.0865
-35.3403,149.0823
-35.3488,149.0841
-35.3476,149.0772
-35.3483,149.0695
-35.3336,149.0637
-35.3059,149.0625
-35.2928,149.0730
-35.2849,149.0845
-35.2801,149.0861
-35.2769,149.0775
-35.2755,149.0677
-35.2692,149.0509
-35.2692,149.0373
-35.2585,149.0276
-35.2545,149.0260
-35.2395,149.0301
-35.2440,149.0584
-35.2504,149.0757
-35.2475,149.0760
-35.2411,149.0733
-35.2384,149.0766
-35.2310,149.0802
-35.2258,149.0741
-35.2145,149.0862
-35.2031,149.0906
-35.2013,149.0950
-35.2111,149.1106
-35.2209,149.1199
-35.2313,149.1251
-35.2255,149.1421
-35.2309,149.1512
-35.2267,149.1581
-35.2202,149.1784
-35.2077,149.1932
-35.2055,149.2006
-35.2115,149.2058
-35.2115,149.2085
-35.2160,149.2075
-35.2162,149.2060
-35.2246,149.2024
-35.2295,149.2048
-35.2263,149.2104
-35.2196,149.2137
-35.2207,149.2199
-35.2190,149.2237
-35.2216,149.2287
-35.2210,149.2343
-35.2267,149.2455
-35.2291,149.2467
-35.2307,149.2459
-35.2313,149.2429
-35.2367,149.2412
-35.2404,149.2345
-35.2427,149.2343
-35.2463,149.2418
-35.2471,149.2494
-35.2522,149.2506
-35.2522,149.2530
-35.2572,149.2573
-35.2569,149.2612
-35.2586,149.2628
-35.2595,149.2675
-35.2591,149.2731
-35.2734,149.2718
-35.2750,149.2753
-35.2713,149.2770
-35.2706,149.2796
-35.2716,149.2854
-35.2756,149.2892
-35.2721,149.2984
-35.2739,149.3057
-35.2755,149.3054
-35.2762,149.3090
-35.2782,149.3097
-35.2762,149.3152
-35.2817,149.3162
-35.2867,149.3224
-35.2863,149.3245
-35.2824,149.3264
-35.2862,149.3347
-35.2887,149.3363
-35.2869,149.3376
-35.2867,149.3414
-35.2920,149.3432
-35.2920,149.3488
-35.2934,149.3480
-35.2959,149.3505
-35.2993,149.3505
-35.3016,149.3609
-35.3042,149.3619
-35.3075,149.3596
-35.3090,149.3616
-35.3082,149.3701
-35.3046,149.3741
-35.3064,149.3836
-35.3043,149.3841
-35.3034,149.3865
-35.3031,149.3947
-35.3091,149.3944
-35.3110,149.3972
-35.3173,149.3972
-35.3190,149.3992
-35.3242,149.3971
-35.3252,149.3980
-35.3307,149.3908
-35.3399,149.3669
-35.3420,149.3650
-35.3479,149.3643
-35.3513,149.3519
-35.3501,149.3472
-35.3399,149.3365
-35.3360,149.3140
-35.3359,149.3050
-35.3330,149.3000
-35.3335,149.2929
-35.3380,149.2815
-35.3350,149.2683
-35.3313,149.2624
-35.3319,149.2585
-35.3301,149.2547
-35.3306,149.2475
-35.3356,149.2430
-35.3427,149.2304
-35.3413,149.2189
-35.3459,149.2063
-35.3437,149.2034
-35.3438,149.1903
-35.3376,149.1761
-35.3456,149.1456
-35.3443,149.1334
-35.3479,149.1234
-35.3453,149.1121
-35.3506,149.1008
-35.3438,149.0986
end
start,Fenner
-35.1829,150.6962
-35.1828,150.6963
-35.1827,150.6963
-35.1827,150.6963
-35.1827,150.6963
-35.1819,150.6960
-35.1812,150.6935
-35.1772,150.6957
-35.1772,150.6956
-35.1771,150.6957
-35.1768,150.6917
-35.1764,150.6916
-35.1767,150.6911
-35.1765,150.6885
-35.1762,150.6883
-35.1752,150.6887
-35.1723,150.6913
-35.1706,150.6911
-35.1703,150.6906
-35.1701,150.6907
-35.1701,150.6902
-35.1694,150.6890
-35.1701,150.6876
-35.1702,150.6815
-35.1682,150.6862
-35.1668,150.6844
-35.1661,150.6851
-35.1659,150.6833
-35.1653,150.6826
-35.1658,150.6818
-35.1649,150.6737
-35.1638,150.6719
-35.1632,150.6679
-35.1642,150.6660
-35.1638,150.6620
-35.1632,150.6614
-35.1630,150.6549
-35.1664,150.6326
-35.1728,150.6107
-35.1780,150.6007
-35.1850,150.5939
-35.1842,150.5925
-35.1724,150.5912
-35.1700,150.6013
-35.1645,150.6010
-35.1561,150.6051
-35.1531,150.6026
-35.1530,150.6020
-35.1439,150.5928
-35.1439,150.5928
-35.1439,150.5928
-35.1463,150.5995
-35.1460,150.6038
-35.1455,150.6048
-35.1463,150.6110
-35.1471,150.6123
-35.1472,150.6141
-35.1467,150.6142
-35.1468,150.6151
-35.1485,150.6147
-35.1478,150.6212
-35.1476,150.6209
-35.1477,150.6223
-35.1490,150.6241
-35.1492,150.6334
-35.1492,150.6334
-35.1492,150.6334
-35.1492,150.6334
-35.1457,150.6386
-35.1322,150.6513
-35.129,150.6575
-35.1244,150.6606
-35.1178,150.6610
-35.1178,150.6610
-35.1321,150.7166
-35.1331,150.7174
-35.1358,150.7226
-35.1345,150.7259
-35.1370,150.7356
-35.1370,150.7356
-35.1371,150.7393
-35.1353,150.7415
-35.1359,150.7455
-35.1311,150.7490
-35.1241,150.7648
-35.1242,150.7649
-35.1552,150.7586
-35.1556,150.7580
-35.1585,150.7579
-35.1585,150.7580
-35.1674,150.7562
-35.1676,150.7546
-35.1676,150.7562
-35.1707,150.7556
-35.1707,150.7555
-35.1700,150.7510
-35.1711,150.7500
-35.1729,150.7248
-35.1833,150.7138
-35.1857,150.7103
-35.1864,150.7105
-35.2005,150.6955
-35.2003,150.6951
-35.1905,150.6951
-35.1900,150.6957
-35.1883,150.6950
-35.1852,150.6950
-35.1829,150.6962
end
start,Fenner
-35.1451,150.5933
-35.1530,150.6017
-35.1521,150.5962
-35.1451,150.5933
end
start,Fenner
-35.2049,149.2007
-35.2077,149.1932
-35.2202,149.1784
-35.2267,149.1581
-35.2309,149.1512
-35.2255,149.1421
-35.2313,149.1251
-35.2209,149.1199
-35.2105,149.1100
-35.2013,149.0950
-35.2019,149.0926
-35.2039,149.0901
-35.2148,149.0860
-35.2258,149.0741
-35.2310,149.0802
-35.2384,149.0766
-35.2411,149.0733
-35.2475,149.0760
-35.2504,149.0757
-35.2440,149.0584
-35.2395,149.0301
-35.2453,149.0275
-35.2551,149.0261
-35.2659,149.0339
-35.2779,149.0241
-35.2804,149.0201
-35.2782,149.0177
-35.2723,149.0178
-35.2721,149.0078
-35.2701,149.0051
-35.2595,149.0005
-35.2579,148.9965
-35.2625,148.9955
-35.2611,148.9904
-35.2623,148.9877
-35.2587,148.9782
-35.2553,148.9772
-35.2559,148.9731
-35.2496,148.9700
-35.2456,148.9613
-35.2388,148.9762
-35.2311,148.9686
-35.2184,148.9617
-35.1423,149.0910
-35.1386,149.0933
-35.1352,149.1028
-35.1323,149.1043
-35.1311,149.1097
-35.1277,149.1126
-35.1245,149.1209
-35.1256,149.1271
-35.1290,149.1316
-35.1284,149.1388
-35.1308,149.1399
-35.1352,149.1386
-35.1362,149.1405
-35.1345,149.1449
-35.1386,149.1496
-35.1420,149.1492
-35.1448,149.1467
-35.1446,149.1557
-35.1417,149.1591
-35.1420,149.1643
-35.1469,149.1631
-35.1500,149.1650
-35.1537,149.1625
-35.1598,149.1676
-35.1582,149.1763
-35.1612,149.1854
-35.1656,149.1890
-35.1756,149.1836
-35.1778,149.1858
-35.1792,149.1914
-35.1854,149.1970
-35.1909,149.1963
-35.1943,149.1902
-35.1985,149.1914
-35.2033,149.1895
-35.2025,149.1977
-35.2049,149.2007
end
