start,Banks
-33.9923,151.0424
-33.9921,151.0529
-33.9929,151.0519
-33.9923,151.0424
end
start,Banks
-33.9870,151.0978
-33.9824,151.0901
-33.9942,151.0716
-33.9840,151.0747
-33.9851,151.0544
-33.9752,151.0618
-33.9909,151.0365
-33.9705,151.0465
-33.9477,151.0446
-33.9701,151.0443
-33.9773,151.0248
-33.9682,151.0256
-33.9640,151.0226
-33.9803,151.0162
-33.9836,151.0120
-33.9825,151.0059
-33.9793,151.0042
-33.9826,151.0002
-33.9816,150.9960
-33.9790,150.9941
-33.9751,150.9981
-33.9740,150.9974
-33.9658,150.9888
-33.9649,150.9811
-33.9602,150.9806
-33.9557,150.9828
-33.9520,150.9738
-33.9469,150.9706
-33.9435,150.9980
-33.9396,151.0084
-33.9411,151.0208
-33.9400,151.0321
-33.9436,151.0620
-33.9432,151.0769
-33.9476,151.0791
-33.9654,151.0943
-33.9698,151.1151
-33.9682,151.1244
-33.9736,151.1296
-33.9840,151.1140
-33.9830,151.1064
-33.9870,151.0978
end
start,Barton
-33.9497,151.1680
-33.9497,151.1680
-33.9497,151.1680
-33.9497,151.1680
end
start,Barton
-33.9497,151.1680
-33.9497,151.1680
-33.9536,151.1618
-33.9666,151.1548
-33.9643,151.1371
-33.9691,151.1360
-33.9736,151.1296
-33.9682,151.1244
-33.9698,151.1151
-33.9654,151.0943
-33.9476,151.0791
-33.9432,151.0769
-33.9403,151.0852
-33.9387,151.1006
-33.9293,151.0985
-33.9222,151.0948
-33.9122,151.1190
-33.9125,151.1272
-33.9092,151.1345
-33.9157,151.1646
-33.9249,151.1742
-33.9265,151.1735
-33.9295,151.1653
-33.9340,151.1604
-33.9448,151.1599
-33.9497,151.1680
end
start,Bennelong
-33.8413,151.1281
-33.8196,151.0928
-33.8184,151.0738
-33.8242,151.0511
-33.8242,151.0511
-33.7992,151.0550
-33.7965,151.0651
-33.7926,151.0663
-33.7832,151.0578
-33.7797,151.0523
-33.7703,151.0509
-33.7656,151.0473
-33.7588,151.0489
-33.7571,151.0615
-33.7616,151.0702
-33.7641,151.0836
-33.7604,151.0829
-33.7535,151.0855
-33.7536,151.0883
-33.7519,151.0904
-33.7522,151.0986
-33.7572,151.1050
-33.7615,151.1057
-33.7625,151.1094
-33.7613,151.1168
-33.7628,151.1192
-33.7684,151.1199
-33.7725,151.1256
-33.7730,151.1328
-33.7750,151.1324
-33.7760,151.1367
-33.7747,151.1392
-33.7823,151.1397
-33.7811,151.1427
-33.7855,151.1448
-33.7875,151.1489
-33.7882,151.1469
-33.7941,151.1483
-33.7904,151.1524
-33.7913,151.1563
-33.7987,151.1590
-33.8007,151.1574
-33.7991,151.1489
-33.8016,151.1426
-33.8044,151.1439
-33.8067,151.1409
-33.8098,151.1417
-33.8093,151.1390
-33.8141,151.1408
-33.8164,151.1438
-33.8171,151.1404
-33.8148,151.1360
-33.8187,151.1376
-33.8280,151.1301
-33.8301,151.1267
-33.8413,151.1281
end
start,Bennelong
-33.8242,151.0511
-33.8232,151.0655
-33.8240,151.0641
-33.8242,151.0511
end
start,Berowra
-33.5379,151.2469
-33.5375,151.2468
-33.5375,151.2468
-33.5379,151.2469
end
start,Berowra
-33.5089,151.1859
-33.5078,151.1854
-33.5083,151.1858
-33.5089,151.1859
end
start,Berowra
-33.5045,151.1581
-33.4948,151.1555
-33.4965,151.1577
-33.5045,151.1581
end
start,Berowra
-33.4667,151.1293
-33.4646,151.1188
-33.4643,151.1193
-33.4643,151.1246
-33.4667,151.1293
end
start,Berowra
-33.4473,151.0799
-33.4485,151.0747
-33.4483,151.0747
-33.4465,151.0773
-33.4473,151.0799
end
start,Berowra
-33.4599,151.0685
-33.4601,151.0684
-33.4599,151.0685
-33.4614,151.0722
-33.4600,151.0758
-33.4574,151.0768
-33.4528,151.0757
-33.4488,151.0797
-33.4531,151.0819
-33.4728,151.0873
-33.4803,151.0929
-33.4817,151.0966
-33.4835,151.0976
-33.4821,151.1025
-33.4819,151.1043
-33.4816,151.1045
-33.4719,151.1394
-33.4729,151.1415
-33.4711,151.1467
-33.4696,151.1477
-33.4674,151.1556
-33.4912,151.1312
-33.4989,151.1552
-33.5239,151.1539
-33.5070,151.1114
-33.5192,151.1313
-33.5310,151.1263
-33.5298,151.1433
-33.5419,151.1375
-33.5376,151.1270
-33.5462,151.1169
-33.5420,151.1449
-33.5622,151.1514
-33.5678,151.1309
-33.5860,151.1200
-33.5877,151.1027
-33.6003,151.1257
-33.5887,151.1190
-33.5828,151.1461
-33.5710,151.1336
-33.5757,151.1622
-33.5514,151.1517
-33.5585,151.1695
-33.5368,151.1488
-33.5386,151.1700
-33.5139,151.1756
-33.5499,151.1985
-33.5384,151.2309
-33.5726,151.2128
-33.5614,151.2310
-33.5783,151.2469
-33.5940,151.2327
-33.5890,151.1923
-33.5921,151.1863
-33.6078,151.2131
-33.6258,151.1639
-33.6554,151.1494
-33.6581,151.1639
-33.6598,151.1602
-33.6637,151.1577
-33.6634,151.1544
-33.6670,151.1554
-33.6697,151.1488
-33.6744,151.1471
-33.6778,151.1417
-33.6781,151.1379
-33.6746,151.1340
-33.6786,151.1250
-33.6785,151.1126
-33.6869,151.1093
-33.6968,151.1001
-33.7086,151.0971
-33.7176,151.0996
-33.7207,151.0971
-33.7297,151.0959
-33.7304,151.0923
-33.7334,151.0925
-33.7354,151.0900
-33.7409,151.0921
-33.7445,151.0907
-33.7477,151.0934
-33.7485,151.0985
-33.7535,151.1001
-33.7517,151.0970
-33.7535,151.0855
-33.7604,151.0829
-33.7641,151.0836
-33.7617,151.0707
-33.7577,151.0636
-33.7571,151.0586
