start,Lingiari
-15.7366,136.9556
-15.7373,136.9526
-15.7364,136.9485
-15.7331,136.9472
-15.7350,136.9436
-15.7393,136.9426
-15.7394,136.9411
-15.7393,136.9411
-15.7357,136.9414
-15.7308,136.9446
-15.7255,136.9415
-15.7271,136.9374
-15.7264,136.9301
-15.7259,136.9296
-15.7251,136.9294
-15.7244,136.9340
-15.7208,136.9356
-15.7199,136.9400
-15.7148,136.9387
-15.7143,136.9362
-15.7092,136.9400
-15.7040,136.9348
-15.7033,136.9350
-15.7011,136.9385
-15.6991,136.9361
-15.6959,136.9369
-15.6947,136.9395
-15.6901,136.9392
-15.6894,136.9386
-15.6889,136.9388
-15.6887,136.9380
-15.6872,136.9366
-15.6877,136.9337
-15.6837,136.9183
-15.6839,136.9265
-15.6843,136.9275
-15.6840,136.9301
-15.6841,136.9370
-15.6850,136.9382
-15.6842,136.9392
-15.6842,136.9399
-15.6834,136.9402
-15.6827,136.9411
-15.6805,136.9413
-15.6795,136.9416
-15.6760,136.9479
-15.6738,136.9471
-15.6730,136.9440
-15.6693,136.9453
-15.6685,136.9464
-15.6657,136.9466
-15.6633,136.9474
-15.6631,136.9467
-15.6615,136.9468
-15.6605,136.9444
-15.6616,136.9410
-15.6604,136.9362
-15.6604,136.9362
-15.6604,136.9362
-15.6575,136.9429
-15.6582,136.9493
-15.6568,136.9506
-15.6546,136.9499
-15.6529,136.9527
-15.6489,136.9536
-15.6466,136.9570
-15.6419,136.9587
-15.6401,136.9610
-15.6401,136.9610
-15.6478,136.9680
-15.6479,136.9678
-15.6531,136.9710
-15.6546,136.9680
-15.6569,136.9726
-15.6611,136.9693
-15.6621,136.9707
-15.6611,136.9745
-15.6637,136.9756
-15.6638,136.9790
-15.6670,136.9841
-15.6694,136.9850
-15.6726,136.9825
-15.6744,136.9839
-15.6745,136.9882
-15.6728,136.9907
-15.6728,136.9907
-15.6728,136.9907
-15.6728,136.9907
-15.6683,136.9908
-15.6645,136.9944
-15.6589,136.9955
-15.6578,136.9944
-15.6610,136.9875
-15.6596,136.9858
-15.6344,136.9767
-15.6344,136.9767
