start,Maranoa
-25.9963,140.9993
-25.9963,140.9993
-25.9963,140.9993
-25.9963,140.9993
-25.9968,138.1897
-25.9968,137.9990
-23.5208,137.9982
-23.5550,138.4643
-23.4625,138.5920
-23.5122,138.6423
-23.6113,138.7364
-23.4764,138.9211
-23.4483,138.8994
-23.3068,139.0763
-23.3520,139.1227
-23.3099,139.1748
-23.4738,139.3389
-23.5099,139.2954
-23.5207,139.4757
-23.6712,139.4637
-23.6791,139.6359
-23.6936,139.8926
-23.6767,139.8886
-23.6718,139.8775
-23.6550,139.8749
-23.6497,139.8721
-23.6442,139.8653
-23.6425,139.8660
-23.6375,139.8638
-23.6341,139.8651
-23.6296,139.8625
-23.6139,139.8894
-23.5770,139.9362
-23.5500,139.9391
-23.5491,139.9293
-23.4858,139.9362
-23.5048,140.1493
-23.5257,140.3555
-23.4182,140.3419
-23.3462,140.4132
-23.2314,140.5726
-23.1746,140.6431
-23.1566,140.6626
-23.1886,140.7193
-23.2231,140.7596
-23.1701,140.8293
-23.1615,140.8221
-23.0677,140.9469
-23.0444,140.9245
-22.9476,141.0463
-22.9218,141.0214
-22.9115,140.9857
-22.8990,140.9867
-22.9002,141.0005
-22.8044,141.1222
-22.7745,141.1144
-22.7522,141.1203
-22.7491,141.1228
-22.7026,141.1172
-22.6900,141.1027
-22.6419,141.0949
-22.6372,141.0919
-22.6281,141.0896
-22.6182,141.0908
-22.6212,141.1338
-22.6333,141.1456
-22.5975,141.1989
-22.4656,141.0797
-22.3354,141.2457
-22.3213,141.2534
-22.2979,141.2284
-22.2496,141.1828
-22.0551,141.1986
-22.0618,141.2943
-22.0540,141.2937
-22.0450,141.2902
-22.0324,141.2913
-22.0309,141.2927
-22.0262,141.2886
-22.0239,141.2908
-22.0099,141.2841
-21.9888,141.2845
-21.9839,141.2883
-21.9496,141.3047
-21.9640,141.4811
-21.7504,141.5078
-21.7559,141.5831
-21.7931,141.5800
-21.8062,141.7386
-21.7909,141.7408
-21.8150,142.0487
-21.6936,142.0657
-21.6103,142.0691
-21.6083,142.0645
-21.6042,142.0647
-21.6047,142.0693
-21.5407,142.0719
-21.5428,142.1612
-21.5508,142.2318
-21.5962,142.2281
-21.6071,142.3351
-21.6205,142.3328
-21.6361,142.3315
-21.6363,142.3325
-21.6441,142.4912
-21.5970,142.4951
-21.6103,142.6565
-21.6674,142.6513
-21.6149,142.7184
-21.5878,142.6939
-21.4931,142.8153
-21.5450,142.8620
-21.4816,142.9424
-21.4937,142.9533
-21.4545,143.0001
-21.4553,143.0019
-21.4499,143.0089
-21.4485,143.0077
-21.3086,143.1880
-21.3129,143.2364
-21.3111,143.2366
-21.3220,143.3595
-21.6118,143.3287
-21.6141,143.3577
-21.6160,143.3580
-21.6245,143.4483
-21.6228,143.4500
-21.6411,143.6492
-21.7974,143.6308
-21.7984,143.6514
-21.7997,143.6537
-21.8140,143.7818
-21.8111,143.7820
-21.8199,143.9294
-21.8221,143.9342
-21.8303,144.0446
-21.8947,144.0388
-21.8983,144.0574
-21.8989,144.0924
-21.9018,144.1117
-21.9063,144.1114
-21.9133,144.1842
-21.9080,144.1865
-21.9084,144.1884
-21.9138,144.1879
-21.9137,144.1859
-21.9895,144.1803
-21.9968,144.2633
-22.0326,144.2700
-22.0478,144.2684
-22.0617,144.4172
-22.0983,144.4138
-22.1133,144.4028
-22.1570,144.3977
-22.1651,144.5017
-22.1856,144.5005
-22.1954,144.6374
-22.2038,144.7172
-22.2021,144.7235
-22.2106,144.7373
-22.1638,144.7420
-22.1481,144.7462
-22.0944,144.7521
-22.0984,144.7960
-22.0455,144.8008
-22.0591,144.9430
-22.0273,144.9474
-21.9303,144.9563
-21.9426,145.0822
-21.9102,145.0843
-21.8997,145.0742
-21.8914,145.0751
-21.8989,145.1529
-21.7848,145.1660
-21.7926,145.2439
-21.8299,145.2583
-21.8287,145.2620
-21.8462,145.4182
-21.6920,145.4347
-21.7019,145.5294
-21.6582,145.5328
-21.6681,145.6784
-21.7187,145.6737
-21.7243,145.6618
-21.7975,145.6457
-21.8939,145.6406
-21.8929,145.6301
-21.9267,145.6271
-21.9320,145.6682
-22.0411,145.6611
-22.0485,145.7700
-22.0665,145.7696
-22.0804,145.8805
-22.0846,145.8803
-22.1057,146.0377
-22.1162,146.0660
-22.1233,146.0740
-22.1857,146.0645
-22.2266,146.0706
-22.3385,146.0521
-22.3474,146.1220
-22.4456,146.1089
-22.4633,146.2831
-22.5086,146.2692
-22.5013,146.2806
-22.5013,146.2840
-22.4977,146.2897
-22.4957,146.2969
-22.4932,146.3093
-22.4954,146.3192
-22.4948,146.3295
-22.5000,146.3471
-22.5074,146.3547
-22.5187,146.3709
-22.5208,146.3829
-22.5184,146.3893
-22.5032,146.4136
-22.4993,146.4158
-22.4879,146.4285
-22.4870,146.4367
-22.4993,146.4517
-22.5488,146.4393
-22.5473,146.4237
-22.7562,146.4007
-22.7689,146.5487
-22.7785,146.5478
-22.7857,146.5433
-22.7890,146.5399
-22.7931,146.5294
-22.7984,146.5248
-22.8038,146.5243
-22.8121,146.5259
-22.8289,146.5391
-22.8364,146.5421
-22.8396,146.5465
-22.8534,146.5493
-22.8588,146.5519
-22.8647,146.5518
-22.8686,146.5534
-22.8699,146.5563
-22.8787,146.5588
-22.8899,146.5770
-22.8875,146.5944
-22.8813,146.6097
-22.8869,146.6218
-22.8833,146.6418
-22.8844,146.6453
-22.8925,146.6487
-22.9058,146.6612
-22.9053,146.6642
-22.9143,146.6697
-22.9173,146.6696
-22.9241,146.6642
-22.9252,146.6646
-22.9419,146.6815
-22.9441,146.6814
-22.9491,146.6849
-22.9537,146.6923
-22.9662,146.6986
-22.9648,146.7025
-22.9660,146.7135
-22.9686,146.7212
-22.9738,146.7279
-22.9755,146.7349
-22.9849,146.7416
-22.9863,146.7491
-22.9902,146.7547
-22.9984,146.7615
-23.0043,146.7651
-23.0094,146.7656
-23.0217,146.7782
-23.0338,146.7860
-23.0399,146.7876
-23.0471,146.7876
-23.0505,146.7831
-23.0550,146.7816
-23.0625,146.7843
-23.0712,146.7836
-23.0760,146.7862
-23.0797,146.7858
-23.0845,146.7839
-23.0909,146.7779
-23.1000,146.7817
-23.1037,146.7853
-23.1132,146.7846
-23.1219,146.7883
-23.1285,146.7889
-23.1328,146.7929
-23.1414,146.7969
-23.1468,146.8042
-23.1493,146.8113
-23.1543,146.8139
-23.1601,146.8334
-23.1638,146.8410
-23.1635,146.8466
-23.1739,146.8629
-23.1822,146.8665
-23.1841,146.8698
-23.1946,146.8738
-23.1986,146.8742
-23.2082,146.8713
-23.2126,146.8722
-23.2195,146.8821
-23.2235,146.8842
-23.2286,146.8834
-23.2332,146.8802
-23.2384,146.8810
-23.2524,146.8777
-23.2617,146.8791
-23.2753,146.8749
-23.2780,146.8670
-23.2808,146.8634
-23.2852,146.8641
-23.2903,146.8614
-23.2937,146.8545
-23.2979,146.8534
-23.3046,146.8546
-23.3155,146.9326
-23.2601,146.9399
-23.2635,146.9763
-23.2798,147.0790
-23.3071,147.0747
-23.3229,147.1439
-23.3229,147.1488
-23.3257,147.1518
-23.3263,147.1582
-23.3317,147.1577
-23.3397,147.1617
-23.3512,147.2866
-23.3625,147.2828
-23.3667,147.2744
-23.3841,147.2650
-23.3947,147.2652
-23.4045,147.2630
-23.4130,147.2645
-23.4380,147.2598
-23.4415,147.2578
-23.4472,147.2506
-23.4513,147.2493
-23.4589,147.2511
-23.4694,147.2603
-23.4628,147.2643
-23.4632,147.2660
-23.4692,147.2732
-23.4727,147.2737
-23.4816,147.2792
-23.5005,147.2821
-23.5134,147.2782
-23.5215,147.2797
-23.5247,147.2837
-23.5367,147.2725
-23.5390,147.2640
-23.5430,147.2582
-23.5429,147.2503
-23.5463,147.2463
-23.5526,147.2320
-23.5509,147.2194
-23.5681,147.2197
-23.5737,147.2122
-23.5760,147.2121
-23.5883,147.2204
-23.5935,147.2200
-23.6019,147.2055
-23.6091,147.1981
-23.6212,147.2021
-23.6266,147.2009
-23.6313,147.2032
-23.6366,147.2113
-23.6394,147.2116
-23.6526,147.2035
-23.6546,147.2005
-23.6582,147.2033
-23.6683,147.2050
-23.6759,147.2095
-23.6779,147.2086
-23.6779,147.2049
-23.6845,147.1957
-23.6914,147.1986
-23.7031,147.1949
-23.7040,147.1966
-23.7086,147.1976
-23.7122,147.1940
-23.7182,147.1936
-23.7249,147.1976
-23.7271,147.2007
-23.7338,147.2008
-23.7353,147.1988
-23.7411,147.1985
-23.7455,147.1951
-23.7549,147.2001
-23.7595,147.2010
-23.7656,147.1990
-23.7733,147.1997
-23.7782,147.2113
-23.7839,147.2188
-23.7841,147.2234
-23.7874,147.2295
-23.7910,147.2275
-23.8107,147.2379
-23.8190,147.2313
-23.8263,147.2310
-23.8321,147.2276
-23.8361,147.2301
-23.8387,147.2296
-23.8479,147.2364
-23.8523,147.2366
-23.8547,147.2347
-23.8622,147.2389
-23.8813,147.2335
-23.8917,147.2364
-23.8981,147.2410
-23.9032,147.2411
-23.9082,147.2387
-23.9128,147.2389
-23.9120,147.2343
-23.9149,147.2305
-23.9147,147.2273
-23.9165,147.2269
-23.9256,147.2135
-23.9338,147.2106
-23.9398,147.2032
-23.9390,147.1982
-23.9415,147.1946
-23.9415,147.1809
-23.9429,147.1786
-23.9535,147.1725
-23.9553,147.1689
-23.9673,147.1683
-23.9728,147.1629
-23.9756,147.1639
-23.9761,147.1703
-23.9780,147.1733
-24.0048,147.1838
-24.0129,147.1787
-24.0164,147.1784
-24.0267,147.1849
-24.0360,147.1866
-24.0434,147.1831
-24.0503,147.1761
-24.0600,147.1741
-24.0692,147.1776
-24.0734,147.1827
-24.0857,147.1833
-24.0929,147.1612
-24.0925,147.1563
-24.0859,147.1488
-24.0856,147.1415
-24.0915,147.1330
-24.0944,147.1217
-24.0928,147.1187
-24.0933,147.1102
-24.1044,147.0895
-24.1142,147.0810
-24.1136,147.0786
-24.1176,147.0736
-24.1182,147.0652
-24.1161,147.0620
-24.1185,147.0504
-24.1256,147.0374
-24.1321,147.0373
-24.1375,147.0286
-24.1405,147.0285
-24.1565,146.9998
-24.1553,146.9945
-24.1613,146.9898
-24.1626,146.9832
-24.1601,146.9736
-24.1633,146.9722
-24.1635,146.9693
-24.1674,146.9647
-24.1635,146.9563
-24.1743,146.9560
-24.1790,146.9526
-24.1883,146.9497
-24.1968,146.9498
-24.1989,146.9526
-24.2033,146.9541
-24.2068,146.9534
-24.2141,146.9489
-24.2192,146.9402
-24.2291,146.9437
-24.2378,146.9380
-24.2433,146.9369
-24.2536,146.9280
-24.2567,146.9274
-24.2789,146.9268
-24.2842,146.9348
-24.2905,146.9351
-24.2946,146.9230
-24.3126,146.9130
-24.3175,146.9125
-24.3201,146.9066
-24.3285,146.8997
-24.3307,146.8847
-24.3376,146.8736
-24.3395,146.8755
-24.3459,146.8737
-24.3479,146.8746
-24.3602,146.8653
-24.3687,146.8642
-24.3722,146.8536
-24.3687,146.8476
-24.3690,146.8441
-24.3718,146.8405
-24.3732,146.8346
-24.3716,146.8308
-24.3740,146.8192
-24.3767,146.8143
-24.3943,146.8121
-24.4030,146.8071
-24.4067,146.8021
-24.4099,146.7908
-24.4049,146.7780
-24.4049,146.7728
-24.4078,146.7704
-24.4052,146.7666
-24.4036,146.7595
-24.4069,146.7471
-24.4185,146.7297
-24.3968,146.7213
-24.3847,146.7219
-24.3775,146.7127
-24.3779,146.7012
-24.3809,146.6972
-24.3793,146.6931
-24.3742,146.6889
-24.3751,146.6861
-24.3783,146.6851
-24.3802,146.6819
-24.3867,146.6819
-24.3904,146.6693
-24.4012,146.6634
-24.4033,146.6598
-24.4040,146.6558
-24.3999,146.6522
-24.3991,146.6417
-24.4012,146.6389
-24.4011,146.6357
-24.4051,146.6384
-24.4052,146.6300
-24.4032,146.6271
-24.4070,146.6241
-24.4079,146.6208
-24.4118,146.6178
-24.4148,146.6122
-24.4131,146.6092
-24.4171,146.5958
-24.4148,146.5911
-24.4151,146.5871
-24.4127,146.5853
-24.4115,146.5811
-24.4124,146.5768
-24.4112,146.5752
-24.4128,146.5724
-24.4167,146.5739
-24.4233,146.5819
-24.4256,146.5818
-24.4277,146.5868
-24.4320,146.5890
-24.4340,146.5884
-24.4360,146.5904
-24.4416,146.5879
-24.4458,146.5957
-24.4530,146.5960
-24.4569,146.6078
