start,Barker
-37.1767,139.7367
-37.1767,139.7367
-37.1769,139.7368
-37.1770,139.7365
-37.1770,139.7364
-37.1770,139.7364
-37.1769,139.7364
-37.1767,139.7367
end
start,Barker
-38.0559,140.9657
-38.0559,140.9657
-38.0522,140.9384
-38.0525,140.9362
-38.0486,140.9028
-38.0479,140.9001
-38.0479,140.8967
-38.0410,140.8378
-38.0410,140.8378
-38.0424,140.8191
-38.0426,140.8187
-38.0455,140.7829
-38.0455,140.7829
-38.0493,140.7751
-38.0540,140.7706
-38.0597,140.7704
-38.0597,140.7704
-38.0573,140.7689
-38.0564,140.7632
-38.0576,140.7599
-38.0561,140.7529
-38.0586,140.7467
-38.0542,140.7380
-38.0510,140.7168
-38.0535,140.7031
-38.0571,140.6950
-38.0575,140.6745
-38.0600,140.6695
-38.0592,140.6656
-38.0597,140.6633
-38.0614,140.6624
-38.0614,140.6624
-38.0563,140.6599
-38.0516,140.6525
-38.0441,140.6450
-38.0439,140.6450
-38.0414,140.6426
-38.0413,140.6422
-38.0411,140.6420
-38.0404,140.6378
-38.0385,140.6292
-38.0387,140.6288
-38.0370,140.6197
-38.0327,140.6181
-38.0276,140.6081
-38.0236,140.5903
-38.0262,140.5845
-38.0287,140.5844
-38.0297,140.5793
-38.0297,140.5793
-38.0280,140.5771
-38.0240,140.5767
-38.0206,140.5705
-38.0141,140.5721
-38.0085,140.5672
-38.0060,140.5609
-38.0047,140.5482
-38.0004,140.5403
-37.9694,140.4989
-37.9608,140.4911
-37.9576,140.4858
-37.9569,140.4822
-37.9549,140.4795
-37.9532,140.4783
-37.9527,140.4766
-37.9418,140.4619
-37.9416,140.4618
-37.9415,140.4616
-37.9358,140.4540
-37.9358,140.4540
-37.9316,140.4423
-37.9315,140.4384
-37.9265,140.4203
-37.9252,140.4201
-37.9246,140.4134
-37.9243,140.4123
-37.9159,140.4030
-37.9173,140.3972
-37.9190,140.3964
-37.9169,140.3969
-37.9156,140.3954
-37.9149,140.3976
-37.9126,140.3974
-37.9109,140.3947
-37.9127,140.3916
-37.9124,140.3914
-37.9098,140.3922
-37.9015,140.3886
-37.8989,140.3834
-37.8988,140.3828
-37.8658,140.3618
-37.8638,140.3615
-37.8495,140.3539
-37.8343,140.3423
-37.8184,140.3335
-37.8183,140.3318
-37.8130,140.3284
-37.8126,140.3286
-37.8118,140.3276
-37.8099,140.3264
-37.8070,140.3286
-37.8014,140.3259
-37.7953,140.3204
-37.7891,140.3188
-37.7797,140.3111
-37.7706,140.3072
-37.7596,140.2985
-37.7479,140.2932
-37.7370,140.2845
-37.7352,140.2847
-37.7208,140.2755
-37.6861,140.2478
-37.6398,140.2032
-37.6172,140.1787
-37.6172,140.1787
-37.6172,140.1787
-37.6118,140.1705
-37.6119,140.1697
-37.6100,140.1664
-37.6071,140.1641
-37.6029,140.1573
-37.6015,140.1520
-37.6011,140.1513
-37.5978,140.1495
-37.5944,140.1448
-37.5928,140.1372
-37.5914,140.1369
-37.5871,140.1343
-37.5884,140.1326
-37.5877,140.1285
-37.5873,140.1279
-37.5851,140.1276
-37.5844,140.1228
-37.5843,140.1228
-37.5795,140.1208
-37.5787,140.1154
-37.5799,140.1152
-37.5784,140.1127
-37.5784,140.1127
-37.5754,140.1134
-37.5736,140.1113
-37.5706,140.1119
-37.5707,140.1103
-37.5692,140.1107
-37.5682,140.1089
-37.5655,140.1079
-37.5655,140.1115
-37.5702,140.1160
-37.5697,140.1201
-37.5652,140.1274
-37.5562,140.1313
-37.5505,140.1316
-37.5437,140.1297
-37.5308,140.1208
-37.5295,140.1191
-37.5286,140.1188
-37.5248,140.1135
-37.5189,140.1064
-37.5169,140.1026
-37.4892,140.0645
-37.4844,140.0600
-37.4786,140.0498
-37.4744,140.0321
-37.4769,140.0200
-37.4822,140.0150
-37.4849,140.0148
-37.4872,140.0020
-37.4872,140.0016
-37.4873,140.0015
-37.4879,139.9985
-37.4873,139.9979
-37.4883,139.9962
-37.4883,139.9962
-37.4864,139.9984
-37.4846,139.9972
-37.4872,139.9999
-37.4844,139.9977
-37.4856,139.9938
-37.4850,139.9932
-37.4830,139.9936
