start,Denison
-42.7511,147.2265
-42.7564,147.2363
-42.7594,147.2372
-42.7613,147.2425
-42.7644,147.2439
-42.7636,147.2459
-42.7663,147.2493
-42.7655,147.2532
-42.7867,147.2528
-42.7872,147.2578
-42.7888,147.2593
-42.7876,147.2608
-42.7882,147.2664
-42.7907,147.2693
-42.7891,147.2753
-42.7899,147.2832
-42.7918,147.2589
-42.8151,147.2559
-42.8155,147.2608
-42.8187,147.2638
-42.8196,147.2685
-42.8244,147.2723
-42.8259,147.2793
-42.8222,147.2841
-42.8188,147.2851
-42.8201,147.2864
-42.8187,147.2980
-42.8338,147.3018
-42.8264,147.3052
-42.8292,147.3174
-42.8320,147.3221
-42.8315,147.3206
-42.8324,147.3219
-42.8492,147.3130
-42.8446,147.3278
-42.8551,147.3196
-42.8703,147.3346
-42.8740,147.3353
-42.8772,147.3391
-42.8770,147.3411
-42.8825,147.3390
-42.8819,147.3353
-42.8836,147.3332
-42.8846,147.3346
-42.8849,147.3315
-42.8859,147.3377
-42.9002,147.3322
-42.9030,147.3379
-42.9039,147.3372
-42.9055,147.3398
-42.9141,147.3609
-42.9535,147.3463
-42.9618,147.3407
-42.9667,147.3413
-42.9677,147.3397
-42.9695,147.3403
-42.9697,147.3387
-42.9744,147.3385
-42.9736,147.3159
-42.9750,147.3128
-42.9695,147.3084
-42.9651,147.2956
-42.9661,147.2902
-42.9711,147.2809
-42.9723,147.2742
-42.9714,147.2675
-42.9665,147.2549
-42.9663,147.2496
-42.9716,147.2296
-42.9794,147.2164
-42.9831,147.1957
-42.9707,147.1892
-42.9765,147.1800
-42.9712,147.1729
-42.9738,147.1723
-42.9743,147.1701
-42.9674,147.1615
-42.9722,147.1581
-42.9760,147.1582
-42.9771,147.1522
-42.9744,147.1461
-42.9558,147.1502
-42.9560,147.1518
-42.9508,147.1532
-42.9512,147.1560
-42.9440,147.1576
-42.9438,147.1561
-42.9398,147.1570
-42.9391,147.1515
-42.9360,147.1523
-42.9363,147.1547
-42.9335,147.1555
-42.9332,147.1531
-42.9196,147.1572
-42.9192,147.1541
-42.9141,147.1556
-42.9133,147.1503
-42.8557,147.1510
-42.8547,147.1450
-42.8492,147.1464
-42.8478,147.1353
-42.8442,147.1362
-42.8447,147.1399
-42.8415,147.1424
-42.8420,147.1472
-42.8371,147.1483
-42.8376,147.1523
-42.8343,147.1536
-42.8354,147.1618
-42.8313,147.1629
-42.8317,147.1678
-42.8299,147.1683
-42.8297,147.1738
-42.8223,147.1800
-42.8178,147.1766
-42.8161,147.1801
-42.8146,147.1787
-42.8123,147.1834
-42.8139,147.1849
-42.8118,147.1857
-42.8134,147.1939
-42.8084,147.1926
-42.8088,147.1951
-42.8057,147.1958
-42.8064,147.2008
-42.8041,147.2009
-42.8038,147.1987
-42.8017,147.1992
-42.8013,147.1969
-42.7975,147.1978
-42.7979,147.2005
-42.7912,147.2022
-42.7916,147.2052
-42.7891,147.2058
-42.7866,147.2011
-42.7838,147.2018
-42.7800,147.2037
-42.7803,147.2058
-42.7771,147.2067
-42.7773,147.2083
-42.7734,147.2094
-42.7735,147.2082
-42.7666,147.2116
-42.7585,147.2229
-42.7511,147.2265
end
start,Denison
-42.9744,147.3159
-42.9765,147.3243
-42.9772,147.3249
-42.9793,147.3207
-42.9774,147.3173
-42.9744,147.3159
end
start,Denison
-42.9771,147.3270
-42.9777,147.3293
-42.9779,147.3285
-42.9771,147.3270
end
start,Bass
-40.3252,148.2258
-40.3407,148.2668
-40.3196,148.2822
-40.3115,148.3172
-40.2908,148.3303
-40.3779,148.4070
-40.3766,148.4514
-40.4055,148.4485
-40.4350,148.4818
-40.4399,148.4373
-40.4652,148.4308
-40.4620,148.4138
-40.4894,148.3979
-40.4765,148.3779
-40.4928,148.3511
-40.4267,148.3099
-40.4289,148.2734
-40.4660,148.2267
-40.4355,148.1959
-40.4481,148.1424
-40.4538,148.1512
-40.4604,148.1407
-40.4396,148.1277
-40.4573,148.0858
-40.4489,148.0462
-40.4143,148.0181
-40.4189,147.9871
-40.3870,147.9873
-40.3398,148.0797
-40.3361,148.1437
-40.3562,148.1918
-40.3179,148.2105
-40.3252,148.2258
end
start,Bass
-41.3557,147.0337
-41.3356,147.0584
-41.3409,147.0768
-41.3543,147.0689
-41.3839,147.0739
-41.3959,147.0824
-41.4010,147.1119
-41.4137,147.1157
-41.4095,147.1230
-41.4219,147.1122
-41.4436,147.1212
-41.4292,147.1432
-41.4172,147.1459
-41.4203,147.1475
-41.4216,147.1500
-41.4205,147.1532
-41.4167,147.1536
-41.4173,147.1567
-41.4199,147.1592
-41.4239,147.1581
-41.4276,147.1608
-41.4266,147.1646
-41.4293,147.1639
-41.4332,147.1657
-41.4364,147.1723
-41.4346,147.1732
-41.4332,147.1662
-41.4267,147.1654
-41.4258,147.1638
-41.4272,147.1612
-41.4201,147.1599
-41.4172,147.1574
-41.4160,147.1546
-41.4173,147.1444
-41.4293,147.1421
-41.4321,147.1270
-41.4109,147.1278
