start,Bass
-40.3252,148.2258
-40.3285,148.2260
-40.3303,148.2282
-40.3311,148.2361
-40.3298,148.2381
-40.3407,148.2668
-40.3196,148.2822
-40.3198,148.2861
-40.3179,148.2902
-40.3217,148.3001
-40.3193,148.3038
-40.3138,148.3072
-40.3115,148.3172
-40.3056,148.3225
-40.3028,148.3228
-40.3026,148.3282
-40.2998,148.3310
-40.2908,148.3303
-40.3278,148.3629
-40.3287,148.3615
-40.3279,148.3630
-40.3305,148.3653
-40.3403,148.3698
-40.3450,148.3780
-40.3465,148.3794
-40.3472,148.3773
-40.3468,148.3796
-40.3779,148.4070
-40.3771,148.4368
-40.3795,148.4445
-40.3786,148.4440
-40.3768,148.4475
-40.3766,148.4514
-40.3921,148.4468
-40.4055,148.4485
-40.4146,148.4588
-40.4185,148.4581
-40.4270,148.4648
-40.4313,148.4714
-40.4300,148.4762
-40.4350,148.4818
-40.4380,148.4550
-40.4366,148.4475
-40.4399,148.4373
-40.4432,148.4364
-40.4437,148.4338
-40.4484,148.4300
-40.4514,148.4313
-40.4517,148.4343
-40.4652,148.4308
-40.4611,148.4187
-40.4620,148.4138
-40.4730,148.4008
-40.4819,148.4014
-40.4834,148.3991
-40.4866,148.3995
-40.4876,148.3978
-40.4894,148.3979
-40.4832,148.3882
-40.4795,148.3877
-40.4799,148.3850
-40.4784,148.3839
-40.4798,148.3830
-40.4765,148.3779
-40.4785,148.3699
-40.4832,148.3610
-40.4890,148.3522
-40.4928,148.3511
-40.4699,148.3368
-40.4651,148.3361
-40.4557,148.3292
-40.4475,148.3265
-40.4453,148.3226
-40.4313,148.3165
-40.4267,148.3099
-40.4289,148.2734
-40.4660,148.2267
-40.4485,148.2090
-40.4413,148.2060
-40.4355,148.1959
-40.4481,148.1424
-40.4538,148.1512
-40.4604,148.1407
-40.4584,148.1422
-40.4568,148.1414
-40.4542,148.1437
-40.4500,148.1420
-40.4423,148.1344
-40.4396,148.1277
-40.4396,148.1228
-40.4445,148.1161
-40.4480,148.1077
-40.4500,148.0910
-40.4530,148.0865
-40.4559,148.0870
-40.4573,148.0858
-40.4548,148.0825
-40.4553,148.0770
-40.4523,148.0717
-40.4532,148.0668
-40.4519,148.0605
-40.4489,148.0589
-40.4505,148.0550
-40.4489,148.0538
-40.4500,148.0519
-40.4480,148.0512
-40.4489,148.0462
-40.4452,148.0459
-40.4454,148.0435
-40.4424,148.0432
-40.4422,148.0408
-40.4411,148.0400
-40.4400,148.0438
-40.4393,148.0427
-40.4375,148.0457
-40.4344,148.0454
-40.4315,148.0413
-40.4307,148.0314
-40.4270,148.0284
-40.4245,148.0341
-40.4258,148.0305
-40.4202,148.0280
-40.4143,148.0181
-40.4135,148.0131
-40.4153,148.0114
-40.4189,147.9871
-40.4099,147.9898
-40.4082,147.9884
-40.4060,147.9898
-40.4039,147.9872
-40.4000,147.9872
-40.3989,147.9900
-40.3947,147.9921
-40.3910,147.9872
-40.3870,147.9873
-40.3778,148.0052
-40.3774,148.0089
-40.3744,148.0119
-40.3680,148.0245
-40.3691,148.0278
-40.3666,148.0319
-40.3639,148.0325
-40.3556,148.0488
-40.3552,148.0524
-40.3585,148.0516
-40.3601,148.0543
-40.3586,148.0607
-40.3496,148.0691
-40.3469,148.0769
-40.3429,148.0792
-40.3412,148.0776
-40.3398,148.0797
-40.3397,148.0819
-40.3447,148.0854
-40.3457,148.0897
-40.3408,148.1037
-40.3431,148.1058
-40.3437,148.1104
-40.3415,148.1196
-40.3382,148.1242
-40.3377,148.1272
-40.3393,148.1275
-40.3398,148.1312
-40.3379,148.1340
-40.3361,148.1437
-40.3368,148.1446
-40.3400,148.1422
-40.3432,148.1456
-40.3440,148.1517
-40.3419,148.1576
-40.3435,148.1613
-40.3462,148.1631
-40.3459,148.1626
-40.3467,148.1615
-40.3471,148.1702
-40.3562,148.1918
-40.3532,148.1933
-40.3516,148.1996
-40.3423,148.2072
-40.3255,148.2117
-40.3216,148.2118
-40.3204,148.2093
-40.3179,148.2105
-40.3252,148.2258
end
start,Bass
-41.0968,146.6612
-41.1013,146.6740
-41.1010,146.6780
-41.0898,146.6968
-41.0748,146.7136
-41.0637,146.7075
-41.0847,146.7445
-41.0844,146.7516
-41.0821,146.7549
-41.0788,146.7683
-41.1068,146.7986
-41.1083,146.7922
-41.1100,146.7921
-41.1120,146.7881
-41.1134,146.7936
-41.1122,146.7959
-41.1160,146.7961
-41.1170,146.7975
-41.1151,146.7990
-41.1155,146.8061
-41.1124,146.8040
-41.1125,146.8085
-41.1128,146.8103
-41.1134,146.8121
-41.1144,146.8139
-41.1143,146.8140
-41.1156,146.8144
-41.1163,146.8126
-41.1141,146.8131
-41.1128,146.8065
-41.1155,146.8086
-41.1151,146.8099
-41.1160,146.8084
-41.1180,146.8110
-41.1218,146.8100
-41.1255,146.8121
-41.1284,146.8098
-41.1307,146.8103
-41.1333,146.8117
-41.1346,146.8166
-41.1376,146.8200
-41.1369,146.8182
-41.1392,146.8124
-41.1357,146.8103
-41.1363,146.8054
-41.1342,146.8008
-41.1370,146.8006
-41.1399,146.7980
-41.1393,146.7890
-41.1412,146.7857
-41.1432,146.7857
-41.1454,146.7831
-41.1451,146.7814
-41.1458,146.7814
-41.1494,146.7638
-41.1496,146.7632
-41.1652,146.7706
-41.1648,146.7734
-41.1629,146.7732
-41.1634,146.7745
-41.1633,146.7750
-41.1621,146.7738
-41.1518,146.7844
-41.1542,146.7876
-41.1506,146.7857
-41.1460,146.7901
-41.1460,146.7924
-41.1467,146.7955
-41.1465,146.7969
-41.1468,146.7984
-41.1471,146.7969
-41.1486,146.7984
-41.1457,146.8056
-41.1454,146.8179
-41.1633,146.8247
-41.1701,146.8210
-41.1706,146.8234
-41.1686,146.8266
-41.1704,146.8255
-41.1717,146.8280
-41.1855,146.8334
-41.1866,146.8298
-41.1864,146.8326
-41.1892,146.8348
-41.1954,146.8341
-41.1969,146.8350
-41.1960,146.8360
-41.1971,146.8379
-41.2000,146.8390
-41.1863,146.8449
-41.1930,146.8575
-41.1762,146.8443
-41.1689,146.8407
-41.1631,146.8340
-41.1692,146.8516
-41.1722,146.8548
-41.1711,146.8573
-41.1721,146.8601
-41.1642,146.8663
-41.1652,146.8687
-41.1669,146.8680
-41.1665,146.8691
-41.1623,146.8680
-41.1499,146.8778
-41.1640,146.9101
-41.1689,146.9172
-41.1697,146.9231
-41.1825,146.9197
-41.1823,146.9169
-41.1872,146.9155
-41.1858,146.9107
-41.1888,146.9086
-41.1902,146.9164
-41.1977,146.9156
-41.2015,146.9014
-41.1988,146.8989
-41.1995,146.8975
-41.2025,146.8975
-41.2082,146.8999
-41.2127,146.9060
-41.2602,146.9457
-41.2606,146.9549
-41.2560,146.9597
-41.2536,146.9680
