start,Ballarat
-37.5589,144.5562
-37.5611,144.5513
-37.5738,144.5424
-37.5742,144.5391
-37.5764,144.5378
-37.5836,144.5386
-37.5884,144.5343
-37.5894,144.5363
-37.5902,144.5334
-37.5915,144.5342
-37.5941,144.5325
-37.5951,144.5298
-37.5982,144.5275
-37.6019,144.5283
-37.6009,144.5257
-37.6046,144.5226
-37.6057,144.5245
-37.6076,144.5238
-37.6081,144.5257
-37.6095,144.5239
-37.6141,144.5279
-37.6168,144.5264
-37.6183,144.5272
-37.6279,144.5192
-37.6292,144.5216
-37.6295,144.5198
-37.6357,144.5190
-37.6398,144.5209
-37.6389,144.5194
-37.642,144.5189
-37.6429,144.5167
-37.6438,144.5177
-37.6470,144.5166
-37.6483,144.5193
-37.6506,144.5172
-37.6571,144.5194
-37.6581,144.5183
-37.6608,144.5206
-37.6625,144.5187
-37.6645,144.5190
-37.6659,144.5211
-37.6661,144.5191
-37.6681,144.5202
-37.6669,144.5180
-37.6682,144.5152
-37.6702,144.5186
-37.6717,144.5159
-37.6727,144.5184
-37.6744,144.5172
-37.6726,144.5152
-37.6756,144.5120
-37.6772,144.5142
-37.6775,144.5120
-37.6845,144.5140
-37.6847,144.5163
-37.6863,144.5145
-37.6923,144.5179
-37.6976,144.5145
-37.6994,144.5172
-37.7063,144.5193
-37.7085,144.5020
-37.7079,144.4989
-37.7043,144.4956
-37.7056,144.4905
-37.8390,144.4668
-37.8370,144.4489
-37.8642,144.4435
-37.8619,144.4413
-37.8602,144.4416
-37.8548,144.4343
-37.8579,144.4298
-37.8520,144.4281
-37.8460,144.4214
-37.8338,144.4229
-37.8328,144.4200
-37.8286,144.4196
-37.8269,144.4178
-37.8251,144.4209
-37.8207,144.4203
-37.8165,144.4148
-37.8141,144.4169
-37.8095,144.4159
-37.8092,144.4071
-37.8074,144.4054
-37.8052,144.4042
-37.8043,144.4065
-37.8010,144.4061
-37.8152,144.3991
-37.8108,144.3619
-37.8430,144.3549
-37.8453,144.3533
-37.8435,144.3523
-37.8419,144.3469
-37.8453,144.3450
-37.8449,144.3428
-37.8430,144.3430
-37.8449,144.3406
