start,O'Connor
-31.7089,128.9247
-31.7170,128.8963
-31.7284,128.8710
-31.7356,128.8607
-31.7480,128.8264
-31.7534,128.8201
-31.7579,128.8033
-31.7648,128.7929
-31.7689,128.7895
-31.7735,128.7753
-31.7873,128.7546
-31.7929,128.7393
-31.8056,128.7170
-31.8086,128.7067
-31.8149,128.6998
-31.8165,128.6952
-31.8256,128.6821
-31.8312,128.6653
-31.8338,128.6613
-31.8409,128.6578
-31.8449,128.6535
-31.8509,128.6423
-31.8557,128.6201
-31.8596,128.6112
-31.8630,128.5965
-31.8696,128.5924
-31.8718,128.5889
-31.8736,128.5715
-31.8781,128.5517
-31.8815,128.5432
-31.8949,128.5275
-31.8952,128.5219
-31.9028,128.5018
-31.9082,128.4958
-31.9347,128.4282
-31.9382,128.4110
-31.9437,128.4013
-31.9445,128.3948
-31.9699,128.3333
-31.9729,128.3296
-31.9730,128.3251
-31.9793,128.3142
-31.9800,128.3016
-31.9840,128.2890
-31.9900,128.2814
-31.9918,128.2696
-31.9968,128.2539
-31.9999,128.2508
-32.0018,128.2448
-32.0053,128.2252
-32.0112,128.2130
-32.0156,128.1937
-32.0224,128.1773
-32.0306,128.1464
-32.0350,128.1389
-32.0402,128.1179
-32.0463,128.1004
-32.0516,128.0912
-32.0561,128.0735
-32.0650,128.0497
-32.0657,128.0431
-32.0679,128.0406
-32.0688,128.0328
-32.0739,128.0223
-32.1039,127.8709
-32.1069,127.8500
-32.1093,127.8437
-32.1191,127.7945
-32.1196,127.7840
-32.1248,127.7655
-32.1367,127.7057
-32.1548,127.6480
-32.1562,127.6397
-32.1604,127.6310
-32.1750,127.5853
-32.1831,127.5697
-32.1907,127.5485
-32.1952,127.5423
-32.2000,127.5394
-32.2018,127.5322
-32.2086,127.5281
-32.2141,127.5188
-32.2165,127.4818
-32.2212,127.4640
-32.2222,127.4520
-32.2333,127.4149
-32.2349,127.3972
-32.2388,127.3829
-32.2412,127.3804
-32.2464,127.3501
-32.2540,127.3354
-32.2565,127.3259
-32.2813,127.1027
-32.2805,127.0893
-32.2827,127.0848
-32.2838,127.0572
-32.2880,127.0423
-32.2914,126.9949
-32.2975,126.9565
-32.2923,126.7725
-32.3083,126.6727
-32.2840,126.4220
-32.2687,126.3585
-32.2622,126.3440
-32.2613,126.3315
-32.2564,126.3144
-32.2525,126.2886
-32.2408,126.2392
-32.2356,126.2288
-32.2322,126.2031
-32.2351,126.1697
-32.2377,126.1606
-32.2563,126.1246
-32.2627,126.1163
-32.2751,126.0811
-32.2685,126.0370
-32.2809,125.9885
-32.2819,125.9786
-32.2905,125.9510
-32.3468,125.8402
-32.3468,125.8359
-32.3512,125.8316
-32.3667,125.8012
-32.3943,125.7586
-32.4008,125.7508
-32.4031,125.7429
-32.4181,125.7215
-32.4218,125.7120
-32.4337,125.6996
-32.4440,125.6793
-32.4515,125.6698
-32.4572,125.6657
-32.4649,125.6535
-32.4692,125.6499
-32.4858,125.6248
-32.4902,125.6151
-32.5178,125.5783
-32.5397,125.5460
-32.5432,125.5373
-32.5492,125.5320
-32.5555,125.5088
-32.5585,125.4892
-32.5635,125.4791
-32.5910,125.3774
-32.5922,125.3683
-32.5947,125.3639
-32.6079,125.3152
-32.6160,125.2936
-32.6249,125.2786
-32.6305,125.2632
-32.6307,125.2567
-32.6362,125.2523
-32.6389,125.2398
-32.6432,125.2303
-32.6629,125.1991
-32.6716,125.1806
-32.6723,125.1761
-32.6806,125.1645
-32.6856,125.1503
-32.6924,125.1368
-32.7153,125.1024
-32.7288,125.0261
-32.7672,124.9775
-32.7749,124.9580
-32.7941,124.9280
-32.8151,124.9069
-32.8282,124.9003
-32.8328,124.8945
-32.8451,124.8697
-32.8545,124.8438
-32.8623,124.8352
-32.8728,124.8140
-32.8817,124.7853
-32.8883,124.7726
-32.9001,124.7410
-32.9235,124.5745
-32.9355,124.4582
-32.9490,124.3935
-32.9600,124.3544
-32.9809,124.3053
-33.0175,124.2386
-33.0528,124.1981
-33.0960,124.1543
-33.1351,124.1233
-33.1761,124.1011
-33.3381,124.0343
-33.3766,124.0165
-33.4263,123.998
-33.4793,123.9866
-33.4968,123.9862
-33.5586,123.9760
-33.5912,123.8943
-33.5941,123.8834
-33.5990,123.8750
-33.6062,123.8692
-33.6187,123.8668
-33.6203,123.8687
-33.6189,123.8692
-33.6196,123.8716
-33.6289,123.8727
-33.6299,123.8773
-33.6331,123.8777
-33.6351,123.8745
-33.6338,123.8724
-33.6401,123.8531
-33.6647,123.8102
-33.6760,123.7964
-33.6981,123.7744
-33.7230,123.7569
-33.7441,123.7509
-33.7545,123.7506
-33.7573,123.7487
-33.7653,123.7474
-33.7744,123.7467
-33.7831,123.7491
-33.7930,123.7555
-33.7956,123.7595
-33.7942,123.7634
-33.7952,123.7641
-33.8120,123.7281
-33.8125,123.7174
-33.8164,123.7076
-33.8193,123.7027
-33.8223,123.7017
-33.8278,123.6961
-33.8469,123.6562
-33.8668,123.6413
-33.877,123.6391
-33.8784,123.6304
-33.8761,123.6191
-33.8785,123.6137
-33.8780,123.6104
-33.8817,123.6099
-33.8811,123.5900
-33.8877,123.5733
-33.9021,123.5626
-33.9035,123.5596
-33.9079,123.5583
-33.9401,123.5342
-33.9373,123.5317
-33.9407,123.5281
-33.9396,123.5194
-33.9425,123.5120
-33.9221,123.5080
-33.9188,123.5042
-33.9061,123.4740
-33.8999,123.4489
-33.8976,123.4275
-33.8938,123.4122
-33.8935,123.3941
-33.8958,123.3714
-33.9009,123.3543
-33.9039,123.3525
-33.9051,123.3547
-33.9187,123.3302
-33.9530,123.3059
-33.9536,123.2999
-33.9564,123.2995
-33.9591,123.3016
-33.9708,123.2933
-33.9700,123.2907
-33.9723,123.2922
-33.9760,123.2895
-33.9763,123.2867
-33.9778,123.2883
-33.9798,123.2868
-33.9788,123.2840
-33.9769,123.2855
-33.9754,123.2836
-33.9758,123.2754
-33.9840,123.2687
-33.9844,123.2656
-33.9867,123.2638
-33.9939,123.2394
-33.9920,123.2404
-33.9888,123.2342
-33.9889,123.2272
-33.9915,123.2262
-33.9933,123.2222
-33.9947,123.2236
-33.9983,123.2156
-34.0018,123.2129
-34.0009,123.2080
-34.0071,123.1923
-34.0083,123.1820
-34.0108,123.1824
-34.0133,123.1703
-34.0166,123.1630
-34.0125,123.1601
-34.0106,123.1519
-34.0084,123.1653
-34.0060,123.1675
-34.0002,123.1683
-33.9978,123.1713
